Data;Feriado
01/01/2017;Confraternização Universal
27/02/2017;Carnaval
28/02/2017;Carnaval
14/04/2017;Paixão de Cristo
21/04/2017;Tiradentes
01/05/2017;Dia do Trabalho
15/06/2017;Corpus Christi
07/09/2017;Independência do Brasil
12/10/2017;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2017;Finados
15/11/2017;Proclamação da República
25/12/2017;Natal
01/01/2018;Confraternização Universal
12/02/2018;Carnaval
13/02/2018;Carnaval
30/03/2018;Paixão de Cristo
21/04/2018;Tiradentes
01/05/2018;Dia do Trabalho
31/05/2018;Corpus Christi
07/09/2018;Independência do Brasil
12/10/2018;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2018;Finados
15/11/2018;Proclamação da República
25/12/2018;Natal
01/01/2019;Confraternização Universal
04/03/2019;Carnaval
05/03/2019;Carnaval
19/04/2019;Paixão de Cristo
21/04/2019;Tiradentes
01/05/2019;Dia do Trabalho
20/06/2019;Corpus Christi
07/09/2019;Independência do Brasil
12/10/2019;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2019;Finados
15/11/2019;Proclamação da República
25/12/2019;Natal
